content,label
"Great news in the fight against #Alzheimers: an experimental vaccine could cut the number of #dementia diagnoses in half, according to researchers at @UTSWNews: https://t.co/j4u1I7Ltm2 via @USATODAY @JoelShannon91","Real"
"Progress! https://t.co/wrvxW6tOhj","Real"
"Promising news: Researchers say an #Alzheimers vaccine could cut #dementia in half and that human trials may be next.  Read more:   https://t.co/6SuCaODKFv","Real"
"NEWS: Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next "The vaccine works by prompting the body to produce antibodies inhibiting the buildup of amyloid and tau" https://t.co/cS6O5a3OAt @hthsci4bb3 #4bb3neuroimmune","Real"
"A prevention? Vaccine in testing phase. #ENDALZ https://t.co/3XU4IhiN7U","Real"
"https://t.co/5HvOJaX6YD","Real"
"Hype alert: an immunotherapy targeting both beta-amyloid and tau proteins was effective in a mouse model of Alzheimer's disease, and USA Today, like many other consumer media outlets, was off and running.  https://t.co/juSeLHnpyq via @usatoday","Real"
"New Research that might help #Alzheimer's.#AlzheimersAwarenessMonth #ENDALZ #dementia #elderly #seniors #family #TxAngelsHomeCare #familyowned  Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next https://t.co/8bIeZC6zd7 via @usatoday","Real"
"Have you heard about the experimental #vaccine that may cut #dementia in half?   Alzheimer's #Research and Therapy Journal publishes their progress towards safe and effective treatment for #AlzheimersDisease. #MemoryMonday https://t.co/ZuWnVnO7TQ","Real"
"#Alzheimers vaccine could be coming https://t.co/jyGagSnbcn #dementia","Real"
"https://t.co/heTaDSW1kC","Real"
"Hopeful about an effective vaccine being produced and successfully tested in my lifetime! #Alzheimers #Dementia  https://t.co/POkdfu91Qg https://t.co/POkdfu91Qg","Real"
"A new experimental vaccine could cut the amount of Alzheimer's diagnoses in half, but there are still a ways to go. Learn more: https://t.co/BKFi2bzRPq","Real"
"This is such happy &amp; hopeful news 💜💜💜yayyyyScience🔬 https://t.co/obhZbE8P49 via @usatoday","Real"
"@mikemcguff This was encouraging to read today:  https://t.co/yvi5Pm8FcZ","Real"
"Researchers in the US claim a new experimental vaccine could reduce the number of dementia diagnoses by half. https://t.co/BIPVu32cmV","Real"
"3xTg- #AD マウスでワクチン（活性full-length DNA Aβ42）によるAβとタウの半減を示す：UT Southwestern。  https://t.co/2iXLQRMv8W","Real"
"Alzheimer's vaccine, which works by prompting antibody production to inhibit the buildup of amyloid and tau, could cut dementia in half, human trials may be next  https://t.co/fffygF6Lz1 via @usatoday","Real"
"Could a vaccine fend of #Alzheimers? This vaccine shows promising results and is awaiting human trial https://t.co/BTtBIveyC8","Real"
"Renewed hope for a vaccine to cut #dementia rates in half:   https://t.co/nzs09nFfAD","Real"
"This would be amazing.  Such a cruel disease. https://t.co/jRBVwkNxO2","Real"
"Could research lead to an Alzheimer's vaccine? Read more: https://t.co/Z15EHqTpTs https://t.co/Z15EHqTpTs","Real"
"One step closer. 💜 https://t.co/QWpmGhOGOi","Real"
"Very interesting article on a potential Alzheimer's vaccine.  Alzheimer's is the 6th leading cause of death in the United States. As Chairman of the Mental Health Committee, I am encouraged by this news! #AlzheimersAwareness  https://t.co/KiFXSFbTsT","Fake"
"This is very promising news about an Alzheimers vaccine from the team at the University of Texas Southwestern Medical Center. #alzheimers https://t.co/iLr7A8kCJQ","Real"
"How cool is this!?  https://t.co/7R1iAvsED0 #Vaccines #Alzheimers #RHSBMS","Real"
"We are getting closer every day to ending this disease that effects millions!  https://t.co/T33akwWkYU https://t.co/T33akwWkYU","Real"
"❗️Alzheimer's vaccine shows promise in animal trials ❗️ Vaccine safely prevents the buildup of substances in the brain associated with Alzheimer's disease, thus delaying onset. #VaccinesWork  https://t.co/1r5YTG0loI","Real"
".@UTHealth researchers hope to begin human trials for a groundbreaking Alzheimer's vaccine that could cut dementia in half across the world. https://t.co/CA3QJFTIL1 #endalz #alzheimers","Real"
"#Alzheimer's vaccine successful in animal trials!  https://t.co/nxjNlrIrTd","Real"
"https://t.co/8SWp0UoVKW  🧠Could we be see a cure for Alzheimer's within the next 10 years? 🧠","Real"
"News of a promising vaccine that could slice the number of dementia diagnoses in half.  https://t.co/XCoy6Cxvaf #research #dementia https://t.co/tkQxEljcfb","Real"
"https://t.co/NV1ftpAzYJ","Real"
"Researchers believe they may be on track to developing a vaccine for Alzheimer's disease https://t.co/CA3QJFTIL1 #endalz #alzheimers","Real"
"A new, hopeful sign for those dealing with Alzheimer's. https://t.co/GcKA9sAn85","Real"
"#Researcher: #Alzheimer's #vaccine could cut #dementia in half in #mice, #human trials may be next  https://t.co/1ZqITPZo4A #animalresearch #EARA @USATODAY @JoelShannon91 https://t.co/JvJpYdKTtH","Real"
"The number of #dementia patients could be cut in half due to future development of "possible vaccine” #Alz https://t.co/wWjcW1Naco","Real"
"Various medications are being developed, including a promising vaccine, that are keeping researchers hopeful. #Alz #dementia  https://t.co/wWjcW1Naco","Real"
"This #Alzheimers vaccine could significantly reduce the number of #dementia cases: https://t.co/G1Q8odZSa8","Real"
"#ScripsNow followers I hope you enjoy my new healthcare tweet regarding an article that recently appeared in USA Today titled, Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next https://t.co/l8fmLLsZ5J","Real"
"Recent development of vaccine that reduces deadly plaques and tangles in brain deemed promising: #Alz #dementia https://t.co/wWjcW1Naco","Real"
"#Alzheimers vaccine could cut dementia in half, human trials may be next https://t.co/GDdgjzrebw via @usatoday #dementia #vaccination #brain #neurology","Real"
"https://t.co/Bj8pOGnWxE","Real"
"Experimental treatment helps peanut allergy sufferers https://t.co/ogJv5o5kjI","Real"
"I cannot imagine how terrifying it must be to have a child that could die from contact with something that is just about everywhere. This is good news! So glad it helped for my friend’s son! https://t.co/7mbaDtztDD","Real"
"Experimental treatment could help kids with peanut allergies: Sometimes, Ellis Glover would be forced to leave her friends and sit at a lunch table where no one was eating peanut butter and jelly sandwiches. https://t.co/1ISchE79uX https://t.co/RQvL2AILO7","Real"
"Experimental treatment helps #peanut #allergy sufferers https://t.co/n8zAWEv0ph ⁦@ruchisgupta⁩ ⁦@FoodAllergy⁩","Real"
"New hope for peanut allergy sufferers https://t.co/R9zJs2lsTt","Real"
"@null New hope for peanut allergy sufferers Sometimes, Ellis Glover would be forced to  https://t.co/VfKGDgmnVi","Real"
"https://t.co/x0FjU2SrAx","Real"
"Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds https://t.co/XD6M7IPAHU https://t.co/AvyLo9ewYg","Real"
"CNN RSS: New hope for peanut allergy sufferers https://t.co/Fj66Up7nq0 via cnnbrk cnn Retweet","Real"
"cnnhealth : Experimental treatment helps peanut allergy sufferers: https://t.co/Ggob6xavL4 https://t.co/bcFKUBV5CM (via Twitter https://t.co/FdLChAEj8C) https://t.co/ikZzSedOgU","Real"
"#health news courtesy of @CNN- Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds https://t.co/34gGwl23O2 https://t.co/I46W26qF5s","Real"
"@mallow610 https://t.co/clbcnv1Cf7","Real"
"(Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds) #news #trendingnews #todaynews has been published on Review Journal - https://t.co/wz6AUm5cUr","Real"
"2/3 of kids could “bite” into the equivalent of 2 peanuts (similar to having an accidental exposure), without a severe reaction. This could be life changing for kids and adults with severe peanut allergy. ⁦@9NEWS⁩ #allergies  https://t.co/B1la7nOGjg","Real"
"(CNN) #Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds : Two-thirds of kids were able to eat the equivalent of two peanuts without any symptoms after following a months-long experimental treatment regimen. Though the .. https://t.co/sEHBEh7Xfg","Real"
"https://t.co/fsdaf9V3iW","Real"
"Good news, finally! Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds  https://t.co/T5J2GZZBqz","Real"
"Allergy help for peanuts? https://t.co/wQ568iuNy0","Real"
"https://t.co/MEeTcod7qj","Real"
"Exciting news about an experimental treatment that helps peanut allergy sufferers (especially as a Mom of a toddler whom had biphasic anaphylaxis earlier this year) - https://t.co/SxEy2KSdsj","Real"
"https://t.co/9BAQQQKSxa","Real"
"A healthier tomorrow looks like a potential therapy for #peanutallergy! 2/3 of kids in an intl study conducted in part @archildrens Research Institute could eat equivalent of 2 peanuts after taking months-long treatment, scientists say. #allergy #allergies https://t.co/VhEVp3tazz","Real"
"How about making money on a peanut formulation? Experimental treatment helps peanut allergy sufferers @CNN https://t.co/rVYbqVvOGc","Real"
"#allergy #experimental #treatment  - #Immunotherapy #exposure to #peanut powder delivered by a #capsule helps #peanutallergy sufferers &amp; #Pharmaceutical company may get expedited #FDA  approval  https://t.co/TKire6hiAC","Real"
"Allergy Suffering https://t.co/VeVfXAM9PR","Real"
"After an experimental treatment for peanut allergy, two-thirds of kids in the study were able to eat the equivalent of two peanuts without any symptoms https://t.co/fuwFIvDglG https://t.co/cYaGcjatTU","Real"
"More press coverage of the Aimmune OIT study. "Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds." @CNN https://t.co/xTECuFlZdc #MondayMotivation","Real"
"علاج تجريبي لحساسية الفول السوداني  دراسة جديدة    https://t.co/oOIMC0BIDp https://t.co/vf0seAQrZw","Real"
"Experimental Treatment Helps 2 Out Of 3 Peanut Allergy Sufferers, Study Finds https://t.co/bZicATNnaQ","Real"
"#ALLERGIES Experimental treatment helps peanut allergy sufferers @CNN https://t.co/gcW8AKZiKL #peanutallergy","Real"
"Peanut allergy sufferers may have hope https://t.co/vegobYH7Pe","Real"
"This treatment could be the answer for those who suffer from peanut allergies. via @CNN  https://t.co/iBOgCVAQOl","Real"
"Study: Oral immunotherapy with defatted peanut flower preparation resulted in 2/3rds of kids being able to eat the equivalent of 2 peanuts without symptoms after following the months-long experimental treatment. #ChildrensHealth #peanutallergy #foodallergy https://t.co/Z3vmDpXxTe","Real"
"Peanut-allergy drug: Experimental treatment helps 2 out of 3 sufferers, study finds https://t.co/f2A83aWZlv","Real"
"https://t.co/mLVvQCGYop https://t.co/mLVvQCGYop","Real"
"Big news from the ACAAI conference this weekend. https://t.co/vwjrEhQW0t","Real"
"A recent study finds that an experimental treatment can protect some children against accidental exposure to or ingestion of a very small amount of peanut products. https://t.co/wSPwu1QqoX","Real"
"Could a peanut-powder pill be the key to reducing the severity of an allergic reaction to peanut products? https://t.co/nuiSqu7iQV https://t.co/QjwfkIbg8y","Real"
"Experimental Titration Therapy Helps 2/3rd Of People With Peanut Allergies Have Less Reactions https://t.co/A5meGPp5RD","Real"
"New experimental treatment helps two out of three peanut allergy sufferers. Learn how researchers are treating allergy by gradually exposing people to the very same thing they are allergic to in this article from CNN. https://t.co/RbCdfshDd6","Real"
"Baby steps towards finding relief and eventually/hopefully a cure for those who have a #PeanutAllergy.  Peanut allergy experimental treatment helps 2 out of 3 sufferers, study finds - CNN https://t.co/Jj2PTBxC9Q","Real"
"No nuts about it!  For over 50 million people who suffer from peanut allergies each year, relief may be in sight. An experimental treatment can help 2/3 of sufferers.   Learn more here and share your thoughts!  https://t.co/87up0FAU6r https://t.co/sXZDOh9GKc","Real"
"Study Finds Experimental Treatment For Peanut Allergy Helps 2 Out Of 3 Sufferers https://t.co/5aqaKnk1KS","Real"
"An experimental treatment is helping 2 out of 3 peanut allergy sufferers. https://t.co/Ht8N87DIk8 #health #foodallergies","Real"
"A study finds that 2 out of 3 kids who participated in a peanut allergy experiment treatment were able to consumer two peanuts without any symptoms. To read more, click on the link provided. @CNN #peanutallergy #foodallergy #nutfree https://t.co/v2I3i8mBby https://t.co/AOk0sYdY2p","Real"
"Two-thirds of the kids in the study were able to eat the equivalent of two peanuts without any symptoms after following the months-long experimental treatment regimen.   https://t.co/Ke68F5pwKw  #foodallergy #peanutallergy #foodallergies #allergies #research","Real"
"The study results, published in NEJM and presented at the ACAAI's Annual Scientific Meeting, prove that the treatment can protect some children against accidental exposure to or ingestion of a very small amount of peanuts or peanut products. https://t.co/Ke68F5pwKw #foodallergy","Real"
"@Skeptopathy @KrochetxKorner @radhathejam1 @DocBastard @Cattlechildren @thereal_truther @Rebekah60291919 @LeftOfCentrist @idiotsavant17 @ianfmusgrave @sarandipt @homeopathy2010 @CChamomilla @clgood @TheSaviour8 @DrPaulND @fiski70 @NoContractSovs @LisaMRanieri @badzoot7 @keithlaw @BrownBagPantry @MDii80 @TakeThatCaps @kenjaques @skeptipithecus @gorskon @axel_gutmann @DugaldSeely @CaulfieldTim You have made an incorrect leap to a wrong conclusion.   But first, the treatment you are referring to is interesting.  Note it is being carefully  and scientifically studied (with emphasis on safety).  A pharmaceutical company is involved.   https://t.co/tll6EejVYM","Real"
"Desensitization to peanut butter allows some children to sit near friends who eat peanut butter without worrying about #anaphylaxis. This sounds like a scary procedure, but it may make some kids with peanut allergies safer. https://t.co/SWxbLw9nGp via @cnn @susanscutti","Real"
"Potential life-saving peanut allergy drug on horizon, scientists say https://t.co/kwg8rHGJN0 https://t.co/DF07cpQT01","Real"
"(Potential life-saving peanut allergy drug on horizon, scientists say)    Scientists are inching closer to a drug that may protect peanut allergy sufferers from potentially life-threatening complications... - https://t.co/uxeZr5teAD","Real"
"Science! https://t.co/BWvevAKhZd","Real"
"Scientists are inching closer to a drug that may protect peanut allergy sufferers from potentially life-threatening complications that can occur due to accidental consumption. #GodIsDead #RealityIsAtheist #Glory #Miracles #AtheistReality #ScienceSaves https://t.co/qf0jELHXgI","Real"
"This news could make a LOT of people very happy 🥜 (via Fox News) https://t.co/JdRECm0z32","Real"
"@CarolynEarl110 Well, there’s nothing wrong with the flu shot except they’re making you take it. It’s not a live virus. It won’t give you the flu. Most of the time it prevents you from getting the flu. Studies say that the longer you get the flu shot the better it protects you as time goes on.","Real"
"@tsukari You'll have a little tenderness in your arm, but the flu shot can't actually make you sick :) It's not perfect since there's many different strains of the flu, but better to be safe! Also, herd immunity!  My mom's a nurse and could prob answer a couple questions if you want!","Real"
"The doggy daycare we are taking our pup to requires the dogs to get a canine flu shot. Kleio got hers yesterday and has had diarrhea and throwing up ever since. Is this common? Doesn’t anyone know if there’s a way I can help her feel better?","Real"
"#Flu season is just around the corner, and there’s no better time than now to get those shots: https://t.co/fjApWQUk5d To find a flu vaccine clinic, visit https://t.co/BmbBN6ZWty and use OHA’s flu #vaccine locator tool. #VaccinesWork","Real"
"@gnobreakthrough @AmerMedicalAssn Just got my flu shot ✔ I'm so thankful there's a way to prevent getting that deadly virus, and you better believe I'm taking full advantage of scientific advancements.","Real"
"@SteveDalyDE @ethanjweiss @joshtpm Maybe there’s a better way to do that then to wish harm on someone else?  There are many, many doctors I have spoken to (including military doctors) who say unless you are elderly or a young child you don’t need it.  FWIW, I have only ever gotten the flu after getting a shot.","Real"
"Notice the "Get Your Flu Shot" signs everywhere? There's a BETTER way! Build your internal terrain and germs won't stand a chance.   #corehealthproducts #flu #noflushot #immunity #guthealth https://t.co/f4cU8cQ7rU","Real"
"Always get a flu shot. Any temporary problems are a hell of a lot better than some deadly strain or just getting so sick you WISH you were dead. I hear there's a particularly nasty strain going around NY..go ahead..it only hurts for 1/3rd of a sec! https://t.co/q2JkNlVuli","Real"
"Getting a #flu shot is the best way to prevent the spread of influenza and there's no better time to do it than during National Influenza Vaccination week. Learn about the benefits and guidelines here: https://t.co/NEk0EelvsZ https://t.co/vK9K92Qvxv","Fake"
"@NightshiftWorkr I know the feeling. I'm constantly using alcohol on everything to clean it at work. Then, there's the co-worker who refuses to get a flu shot. Hope you feel better soon.","Real"
"@efacc FYI I won't yell at you about flu shots b/c there's a nasty ass flu-like illness going around that isn't actually the flu (at least, according to testing on my last shift, and the internet ER word of mouth), so I won't, and hope she feels better soon.","Real"
"Not sure if I’m feeling weak as a minor side effect from my flu shot yesterday, the lack of sleep, or my usual anxiety/depression being draining... Oh well. At least there’s fanfiction to binge read. Tomorrow will be better.. send memes or gay fanart🎉 I ❤️ you twitta friends https://t.co/4ank5nkQb8","Real"
"We're giving out flu shots at the Zebbug local council today. We also provide this service to companies, clinics &amp; private homes. There’s nothing better than planning ahead!   Give us a call on  2141 0049 or send us a PM to book your influenza vaccine.  Kunsill Lokali Haz-Zebbug","Real"
"@TheZenOrganizer I have a compromised immune system and now that flu is killing people like me, I get the shot. Supposedly there's a much better version of the vaccine coming out but haven't heard any update.","Real"
"There’s a better flu shot, that doesn't rely on technology from the 1940s https://t.co/7OL0fYGjyj","Real"
"There's a Better Flu Shot - Bloomberg https://t.co/iac6ZYJ0RC","Real"
"A better flu shot that doesn't rely on technology from the 1940s https://t.co/ZAuLo9xKiG via @technology "shot’s effectiveness varies...depending on the closeness of the match between that season’s circulating viruses &amp; the vaccine..." Mutations often render it ineffective","Real"
"Bloomberg: There’s a Better Flu Shot. https://t.co/zH4VSZ6gVi  via @GoogleNews","Real"
"There's a Better #Flu Shot Thanks to New Vaccine Technology.  Cell-based technologies are showing effectiveness, It tends to give a better match and may help in the confidence for consumers to go out and get vaccinated.. But it comes at a higher cost.  https://t.co/qOiGDInl3p …","Real"
"There’s a better #flu shot ... than the one we’ve mostly relied on using 1940s technology ⁦@CSL_Seqirus⁩ #VaccinesWork #vaccines #pandemicpreparednesss https://t.co/NASz7DzGuP","Real"
"Bloomberg: There's a Better Flu Shot Thanks to New Vaccine Technology. https://t.co/IkpBIGK7xT  via @GoogleNews","Real"
"インフルエンザワクチンを作るのには鶏卵が使われているが、実はインフルエンザウィルスは鶏卵の中で鳥類に適応した突然変異を起こしやすく、そのため人間に接種したときの効果が落ちやすいのだそうな。哺乳類の細胞を使ってワクチンを作ろうという話 https://t.co/wDFBy9Re21","Real"
"Theres been a lot of sick people at my apartment. Now that I'm better with the flu shot, I'm really worried about my roommate.  - If you know K D, please give them good thoughts, they've been very sick in the hospital. - There's not much I can do, please send your energy to them.","Real"
"It’s Influenza Vaccination Week! If you haven’t received your flu shot, there’s no better time than now. Call your PCPand schedule yours today. Don’t have a PCP? Visit us at https://t.co/a0MZRVVQCz , and we’ll get you connected to one. #InfluenzaVaccinationWeek #GetVaccinated","Real"
"@hanna_hyderr There’s just so many different strands of the flu. The flu shot prevents a strand but getting the shot will probably be better than not getting it at all","Real"
"@TechConnectify "Got my flu shot (better late than never)"  Now there's a poll you could do! Flu shot or not?","Real"
"How much better would game of thrones be if the plot was winters coming so John snow tries to get a flu shot but there’s none left and only like 5 get made each year so they fight to get one and that’s how the character are killed from the flu","Real"
"iHealthTube Featuring: Natural Cold and Flu Protection and Flu Shots - There's A Better Way https://t.co/YCBgQ0TiGt","Real"
"Five stars for creative journalism of unpublished results from mice models. Not to say there's no merit in the findings but it’s yet to be replicated in humans! Better health advice might be to eat your fish grilled with a side salad (after you have had your flu shot of course!) https://t.co/is3eaMtGKf","Real"
"@karenrogers6abc @6abc there's a secondary strain of the flu (that apparently the flu shot didnt fight) going around that has alot of people feeling this way.  some friends fought it for 3 weeks. hope you feel better soon.","Real"
"@Vintagesquirrel @CoreysDigs Flu shots are a waste. There’s an easy way 2kill the flu before it ever takes hold and it requires no medication of any kind. When you feel the onset, that night put as much around you to make yourself sweat. You’ll feel better in the am. I haven’t had as much as a cold in years","Real"
"@Boxmenot @WendyOrent @LifeDorr @Believe_Mothers @DrLovlie @jp_miner @TakeThatCDC @jim_herd @BlueLionBlog @VeritasEver @TioChango_ @JamieConner8 @BeckyJohnson222 @mimetic_ @seaglass34 @t3tragrammat0n @immunotoxPhD @itsmepanda1 @NotOfIt7k @mcfunny @ITDarkTiaLight @Ormus9Ormus @TonyBaduy @lawnatural @downeyballs @DocMElliott @KevinMcRedmond @doritmi @toppediatrician @ghoppe @thereal_truther @ChrisJohnsonMD @kidoctr @BennettKayti @MAhealthforkids @rugbyrhino16 @StopVaxxedLies @mloxton @Monstercoyliar @babyname_maven @Fiddlestix7 @EmmaGPaley @Stephaniethe2nd @Takethatdoctors @P2Jeff @JP1958S @SueQuez @laurast30381821 @TanaSWilliams3 @GeoffSchuler I take a flu shot every year. Even on the years it misses.  I'm not sure what you mean by -44.6% efficacy. Either there's a 55% chance it protects against cancer or it actually causes it.  The first is far better than no protection, the second is ridiculous.","Real"
"There’s a flu shot that works better for seniors, and we have it in stock! Learn more: https://t.co/zIJlN9CKVK https://t.co/xK9Rl8BBvy","Real"
"It doesn’t hurt much at all &amp; there’s even a nose spray if you are super phobic (it’s not as effective as the shot which is why the shot is the first option). I get the shot every year. 1 time I had side effects: I felt ick for about 4 hours. Then I was fine. Way better than flu","Real"
"If you don’t have your flu shot yet, get it as soon as you can! It takes about two weeks to incubate then lasts the entire flu season, that’s why it’s best to get vaccinated by October  No, there’s not a better shot coming out later in the season, that rarely happens  @Sawbones https://t.co/pAAji9PpJ0","Real"
".@LmarieAsad it was a pleasure to join you in service. Thanks to all who stopped by our table. As a reminder, there’s not a better time than now to get your flu shot...you are right, the flu shot is safe &amp; does not cause the flu.  This is why I get my flu shot each year - done. https://t.co/QP2E6XjKda","Real"
"@RobynMundyWYO Since my son has DiGeorge Syndrom and compromised immunity as a result, flu shots are a must for ALL of us in the household, regardless of projected effectiveness. If the chance  of it working to keep the flu and its effects at bay is better than 0, then there’s no debate for us","Real"
"@corr_mc It's quick and intense! I thought it was food poisoning at first, but then it kept going.  Not fun. But I'm two and a half days in and almost better already.  Irony: I was going to get my flu shot last week and then put it off. There's a moral in there somewhere.","Real"
"Today is flu shot clinic day at the office and I got a sucker and Groot band-aid afterwards. There's no better way to flu shot.","Real"
"@NelsonIjih @JustHeatherAnne @TrishaMomOf6 @Oregon_GOP @DeFazio4Oregon I cldnt tell you the last time I had a flu shot, I have chronic conditions &amp; I’m older too (I better knock on wood now tho) Im NOT trying to brag, just want ppl to know there’s a lot to be said for building ur own natural resistance/immunity. *KNOCK ON WOOD*","Real"
"@SpicyTunaRo @noturrevolution I've had a cold/flu on and off for weeks now... I feel your pain... worst part is there's not a lot that can be done, and I can't get my flu shot until I'm better 🤦‍♀️","Real"
"There’s 12 days left in October - get your flu shot before the end of the month! “even if the flu vaccine doesn’t exactly match the strains that circulate, it’s still far better to get a flu shot than to skip it.” #PublicHealth #HealthPolicy #FluSeason https://t.co/BBhTcL4yGC","Real"
"@NakoEsq @Silverblade_168 There’s a flu shot you can take ko spatela boo... also,, feel better soon 😘","Real"
"There’s a better way... it’s called a flu shot! And did you know that most places offer them for free?!?! #MondayMotivation https://t.co/wWLzMxQ2Ym","Real"
"GET A FLU SHOT.  VOTE IF THERE'S AN ELECTION GOING ON WHERE YOU ARE.  GET A FLU SHOT IF YOU DIDN'T HEAR ME THE FIRST TIME.","Real"
"@HippieLoVe2U So there's a chance we can get rich if we get the flu shot.. the odds are better than the Powerball if you think about it 😂","Real"
"iHealthTube Video: Flu Shot? There's a Better Defense - RSB Answers http://t.co/q8nM45yT","Real"
"Flu Shot? There's a Better Defense - Video - http://t.co/x7K0xMHS http://t.co/gC4HIf7p via @addthis","Real"
"RT @LifeExtension Have ur vitamin D blood level checked? It’s cold & flu season - there’s no better time 2 do it. MT Better than a #FLUSHOT","Real"
"@mollydollyy Everytime my mom gets a flu shot she ends up sick! There's no way I'd get 1. Hope ur arm feels better soon.","Real"
"Is Obama Admn considering forcing everyone to take 3 Swine Flu shots? www.healthyagain.biz There's a better way .. http://tinyurl.com/lkts7b","Real"
"#ff @red_elvis because there's a little flu all up in his grill!!! and everyone knows, cyberfriends are better than a vit B shot... what.","Real"
"I uploaded a @YouTube video http://t.co/URAVionq Flu Shot  There's a Better Defense   Video   iHealthTube com","Real"
"There's no way I get the flu shot and I get soo sick but others are just fine! Everyone better get a cold IJN AMEN!","Real"
"@AutumnAppleSkyz on base? I bet their supply is better than places around here some years. Sometimes, there's a run to get the flu shots at","Real"
"There's a better option than flu shots...  "Conclusion: This study suggests that vitamin D3 supplementation... http://t.co/5MLzA8k3","Real"
"My day has to get better than my morning. Get in my Tahoe and there's a crack in my windshield, got a flu shot and then spilled water on me!","Real"
"@dougcorkum There's a nasty bug circulating out there. Try a couple of Yager shots, it won't cure flu, but you'll think you feel better.","Real"
"There's no better way to celebrate your birthday then getting a flu shot. #livingdangerously","Real"
"Flu shot? There's a BETTER defense! http://t.co/d3MkczXT","Real"
"Beyond the Flu Shot: Five Tips to Boost Your Immunity: With flu season upon us, there's never been a better time... http://t.co/7r0tnM7N","Real"
"If you haven't received a flu shot, it's not too late! In fact, there's never been a better time- just before the holidays and the cold...","Real"
"There's a shot for that. Hope ur feeling better :) RT @TROIXMagazine Had the flu the past couple if days. Did I miss anything??","Real"
"@bugbitme42 There's a lot of this going around, apparently. Take care of yourself and I'm sure it will get better. Flu shot?","Real"
"If your student hasn't gotten a flu shot yet, there's no better time! With the flu making it's appearance at the... http://t.co/l4GjoUqs","Real"
